sample,prediction,true_label,uncertainty,confidence
0,[7.],[7],0.0,0.500000443467542
1,[2.],[2],0.1875,0.5000004432192822
2,[1.],[1],0.0,0.5000004435125822
3,[0.],[0],0.0625,0.5000004433908105
4,[4.],[4],0.0,0.5000004434450287
5,[1.],[1],0.0,0.5000004435179994
6,[4.],[4],0.1875,0.5000004434222359
7,[9.],[9],0.25,0.5000004427067697
8,[5.],[5],0.625,0.5000004433663509
9,[9.],[9],0.125,0.5000004433773438
10,[0.],[0],0.0,0.5000004434659248
11,[6.],[6],0.125,0.5000004433779554
12,[9.],[9],0.0,0.5000004434874805
13,[0.],[0],0.0,0.5000004434370107
14,[1.],[1],0.0,0.5000004434730981
15,[5.],[5],0.3125,0.5000004433352814
16,[9.],[9],0.0,0.5000004434434986
17,[7.],[7],0.0,0.5000004434146997
18,[3.],[3],0.75,0.5000004432307262
19,[4.],[4],0.0,0.5000004434826567
20,[9.],[9],0.0625,0.5000004434562676
21,[6.],[6],0.0,0.5000004434792651
22,[6.],[6],0.4375,0.5000004433019871
23,[5.],[5],0.1875,0.5000004434275657
24,[4.],[4],0.1875,0.5000004433748252
25,[0.],[0],0.3125,0.5000004433463119
26,[7.],[7],0.0,0.5000004427044094
27,[4.],[4],0.0,0.5000004434620883
28,[0.],[0],0.0,0.5000004434447818
29,[1.],[1],0.0,0.5000004434688884
30,[3.],[3],0.0625,0.500000443448478
31,[1.],[1],0.0625,0.50000044348663
32,[3.],[3],0.0,0.5000004434394927
33,[0.],[4],0.5625,0.5000004433906523
34,[7.],[7],0.0625,0.5000004433515532
35,[2.],[2],0.125,0.5000004433454232
36,[7.],[7],0.0625,0.5000004432197475
37,[1.],[1],0.0,0.5000004435110732
38,[2.],[2],0.25,0.5000004433953747
39,[1.],[1],0.0625,0.500000443507125
40,[1.],[1],0.0625,0.5000004434408126
41,[7.],[7],0.0,0.5000004434171028
42,[4.],[4],0.1875,0.5000004434701246
43,[2.],[2],0.625,0.5000004433245725
44,[3.],[3],0.0625,0.500000443481068
45,[5.],[5],0.125,0.5000004434514294
46,[1.],[1],0.1875,0.5000004434489357
47,[2.],[2],0.125,0.5000004430610189
48,[4.],[4],0.0,0.5000004434131868
49,[4.],[4],0.0,0.5000004433746055
50,[6.],[6],0.0,0.5000004434556914
51,[3.],[3],0.3125,0.5000004433347435
52,[5.],[5],0.375,0.5000004433811776
53,[5.],[5],0.1875,0.5000004433569293
54,[6.],[6],0.3125,0.5000004430383481
55,[0.],[0],0.0,0.5000004434570031
56,[4.],[4],0.0,0.5000004434197829
57,[1.],[1],0.0,0.5000004435009596
58,[9.],[9],0.0,0.5000004434755673
59,[5.],[5],0.375,0.5000004433883716
60,[7.],[7],0.0,0.5000004430916964
61,[8.],[8],0.3125,0.5000004433759635
62,[9.],[9],0.25,0.500000443430549
63,[2.],[3],0.375,0.5000004434393783
64,[7.],[7],0.5,0.5000004432158468
65,[4.],[4],0.3125,0.5000004434889669
66,[6.],[6],0.25,0.5000004433747531
67,[4.],[4],0.0,0.5000004433918995
68,[3.],[3],0.0,0.5000004434030498
69,[0.],[0],0.0,0.5000004433721674
70,[7.],[7],0.0,0.5000004432260964
71,[0.],[0],0.0,0.5000004433656249
72,[0.],[2],0.5625,0.5000004433551757
73,[9.],[9],0.3125,0.5000004434134625
74,[1.],[1],0.0,0.5000004435183778
75,[7.],[7],0.1875,0.5000004433631966
76,[3.],[3],0.0625,0.5000004434606228
77,[2.],[2],0.375,0.5000004432940661
78,[9.],[9],0.3125,0.5000004434731473
79,[7.],[7],0.0625,0.500000443400435
80,[7.],[7],0.125,0.5000004433919958
81,[6.],[6],0.125,0.5000004434417431
82,[2.],[2],0.0,0.50000044337117
83,[7.],[7],0.0,0.5000004434600616
84,[8.],[8],0.25,0.5000004433736241
85,[4.],[4],0.0625,0.5000004434034584
86,[7.],[7],0.0,0.5000004434497274
87,[3.],[3],0.25,0.5000004433568436
88,[6.],[6],0.0,0.5000004433337355
89,[1.],[1],0.0,0.500000443491687
90,[3.],[3],0.0,0.5000004434676538
91,[6.],[6],0.0,0.500000443461632
92,[4.],[9],0.625,0.5000004434009242
93,[3.],[3],0.0625,0.5000004434660328
94,[1.],[1],0.0,0.5000004434551553
95,[4.],[4],0.75,0.5000004434041261
96,[1.],[1],0.375,0.50000044344406
97,[7.],[7],0.75,0.5000004421971965
98,[6.],[6],0.3125,0.5000004434634552
99,[9.],[9],0.0,0.5000004434390901
100,[6.],[6],0.1875,0.5000004432494071
101,[0.],[0],0.0,0.5000004434008273
102,[5.],[5],0.0,0.5000004433131616
103,[4.],[4],0.0,0.5000004432872842
104,[9.],[9],0.4375,0.5000004433939095
105,[9.],[9],0.0,0.5000004434239392
106,[2.],[2],0.0625,0.5000004433338483
107,[1.],[1],0.25,0.5000004434972796
108,[9.],[9],0.0625,0.5000004434585114
109,[4.],[4],0.1875,0.5000004433875175
110,[8.],[8],0.0625,0.5000004434586653
111,[7.],[7],0.1875,0.5000004434972773
112,[3.],[3],0.1875,0.5000004434839982
113,[9.],[9],0.0,0.5000004434620663
114,[7.],[7],0.3125,0.5000004434395161
115,[4.],[4],0.625,0.5000004434994503
116,[4.],[4],0.0,0.5000004434590509
117,[4.],[4],0.0625,0.5000004433904626
118,[9.],[9],0.0625,0.5000004434784995
119,[2.],[2],0.375,0.5000004434179396
120,[5.],[5],0.125,0.5000004434037418
121,[4.],[4],0.5,0.5000004434632626
122,[7.],[7],0.0,0.5000004434381937
123,[6.],[6],0.125,0.5000004433892332
124,[4.],[7],0.5,0.5000004432933515
125,[4.],[9],0.4375,0.5000004433046787
126,[0.],[0],0.0625,0.5000004432676466
127,[5.],[5],0.0,0.5000004434541626
128,[8.],[8],0.0625,0.5000004434174088
129,[5.],[5],0.0,0.500000443458231
130,[6.],[6],0.0,0.5000004434006444
131,[6.],[6],0.0625,0.5000004434006746
132,[5.],[5],0.0625,0.5000004433073818
133,[7.],[7],0.375,0.5000004433117701
134,[8.],[8],0.125,0.5000004434514748
135,[1.],[1],0.0,0.5000004435102244
136,[0.],[0],0.0,0.5000004434720778
137,[1.],[1],0.0625,0.500000443481905
138,[6.],[6],0.0625,0.5000004433352083
139,[4.],[4],0.5,0.5000004434180026
140,[6.],[6],0.0,0.5000004434281455
141,[7.],[7],0.0,0.5000004384364726
142,[3.],[3],0.5625,0.5000004434039332
143,[1.],[1],0.0,0.5000004435243767
144,[7.],[7],0.125,0.5000004434064981
145,[1.],[1],0.0,0.5000004434795771
146,[8.],[8],0.0625,0.5000004434115699
147,[2.],[2],0.0625,0.5000004433605681
148,[0.],[0],0.0,0.5000004434870192
149,[2.],[2],0.625,0.5000004408801739
150,[9.],[9],0.0625,0.5000004434782364
151,[4.],[9],0.75,0.5000004432417704
152,[5.],[5],0.125,0.5000004434039884
153,[5.],[5],0.0625,0.5000004434461492
154,[1.],[1],0.0,0.5000004434980239
155,[5.],[5],0.0625,0.5000004434148054
156,[6.],[6],0.0,0.500000443185661
157,[0.],[0],0.125,0.5000004434409898
158,[5.],[3],0.6875,0.5000004432631974
159,[4.],[4],0.375,0.5000004434452682
160,[4.],[4],0.0,0.5000004434038962
161,[6.],[6],0.0625,0.5000004432998507
162,[5.],[5],0.0625,0.5000004433728792
163,[4.],[4],0.0,0.5000004433059353
164,[6.],[6],0.3125,0.5000004433601714
165,[5.],[5],0.0,0.5000004434407204
166,[4.],[4],0.0625,0.5000004434052502
167,[5.],[5],0.25,0.5000004431830948
168,[1.],[1],0.0,0.5000004435175492
169,[4.],[4],0.125,0.500000443481965
170,[4.],[4],0.0,0.5000004434614798
171,[7.],[7],0.125,0.5000004434209845
172,[2.],[2],0.375,0.5000004432012876
173,[3.],[3],0.1875,0.5000004433411726
174,[2.],[2],0.0,0.500000443408163
175,[7.],[7],0.125,0.5000004434886257
176,[1.],[1],0.0,0.5000004434997466
177,[8.],[8],0.3125,0.5000004434600178
178,[1.],[1],0.0,0.5000004435211822
179,[8.],[8],0.0,0.5000004434248619
180,[1.],[1],0.0,0.500000443522345
181,[8.],[8],0.0,0.5000004434397367
182,[5.],[5],0.125,0.5000004434647557
183,[0.],[0],0.0,0.5000004432578687
184,[8.],[8],0.125,0.500000443462702
185,[9.],[9],0.3125,0.5000004434657037
186,[2.],[2],0.0625,0.5000004434076609
187,[5.],[5],0.0625,0.5000004433912422
188,[0.],[0],0.0,0.5000004433487644
189,[1.],[1],0.25,0.5000004434791435
190,[1.],[1],0.0,0.500000443504272
191,[1.],[1],0.3125,0.500000443447846
192,[0.],[0],0.0,0.5000004434196994
193,[9.],[9],0.5,0.5000004433032555
194,[0.],[0],0.0,0.500000443419635
195,[3.],[3],0.5625,0.5000004431943788
196,[1.],[1],0.0,0.5000004434935506
197,[6.],[6],0.0,0.50000044332042
198,[4.],[4],0.0,0.5000004434898704
199,[2.],[2],0.0,0.5000004434763593
200,[3.],[3],0.375,0.500000443372193
201,[6.],[6],0.0,0.5000004433358953
202,[1.],[1],0.0,0.500000443511571
203,[1.],[1],0.125,0.500000443486997
204,[1.],[1],0.0,0.5000004435103849
205,[3.],[3],0.0,0.500000443449479
206,[9.],[9],0.0625,0.5000004434175398
207,[5.],[5],0.3125,0.5000004434368193
208,[2.],[2],0.0,0.5000004433980736
209,[9.],[9],0.125,0.5000004434205824
210,[4.],[4],0.125,0.5000004433871256
211,[5.],[5],0.25,0.500000443353802
212,[9.],[9],0.1875,0.5000004433372841
213,[3.],[3],0.125,0.5000004434612876
214,[9.],[9],0.0,0.5000004434661955
215,[0.],[0],0.0625,0.5000004434582395
216,[3.],[3],0.0,0.5000004434368762
217,[5.],[6],0.5,0.5000004433369952
218,[5.],[5],0.0625,0.5000004434274627
219,[5.],[5],0.3125,0.5000004433937362
220,[7.],[7],0.0,0.5000004434534637
221,[2.],[2],0.1875,0.500000443423541
222,[8.],[2],0.375,0.5000004432753089
223,[7.],[7],0.0,0.5000004434561959
224,[1.],[1],0.0,0.5000004434601517
225,[2.],[2],0.125,0.5000004433730213
226,[8.],[8],0.0,0.5000004434000591
227,[4.],[4],0.125,0.5000004434594187
228,[1.],[1],0.0,0.5000004435078148
229,[7.],[7],0.0,0.5000004434437724
230,[3.],[3],0.3125,0.5000004434671934
231,[3.],[3],0.0,0.5000004434383362
232,[8.],[8],0.25,0.5000004434279229
233,[8.],[8],0.25,0.5000004434266503
234,[7.],[7],0.0,0.5000004434770592
235,[9.],[9],0.375,0.5000004433814026
236,[2.],[2],0.0,0.5000004433816105
237,[2.],[2],0.0,0.5000004434071922
238,[4.],[4],0.0,0.5000004434570651
239,[1.],[1],0.0,0.5000004435090502
240,[5.],[5],0.0,0.5000004434566188
241,[8.],[9],0.75,0.5000004434649318
242,[8.],[8],0.1875,0.5000004433313158
243,[7.],[7],0.5625,0.5000004432564134
244,[2.],[2],0.25,0.5000004433899297
245,[3.],[3],0.5,0.5000004428311795
246,[0.],[0],0.0,0.500000443352776
247,[2.],[4],0.5625,0.5000004433929383
248,[4.],[4],0.0,0.5000004434457852
249,[2.],[2],0.125,0.5000004434865758
250,[4.],[4],0.25,0.5000004434568381
251,[1.],[1],0.3125,0.5000004434544971
252,[9.],[9],0.0625,0.5000004433846945
253,[5.],[5],0.25,0.5000004434538412
254,[7.],[7],0.0,0.5000004434454228
255,[7.],[7],0.1875,0.5000004435033474
256,[2.],[2],0.0,0.5000004434493336
257,[8.],[8],0.375,0.5000004434812279
258,[2.],[2],0.0,0.5000004433967317
259,[0.],[6],0.3125,0.500000443375999
260,[8.],[8],0.0,0.500000443316051
261,[1.],[5],0.625,0.5000004434277987
262,[7.],[7],0.0,0.4999798279520167
263,[7.],[7],0.0,0.5000004434717037
264,[9.],[9],0.6875,0.5000004434263259
265,[1.],[1],0.0,0.5000004435052087
266,[8.],[8],0.375,0.5000004434713743
267,[1.],[1],0.0625,0.5000004435074463
268,[5.],[8],0.625,0.5000004433592696
269,[0.],[0],0.125,0.500000443394719
270,[3.],[3],0.0625,0.5000004433840957
271,[0.],[0],0.0,0.5000004434557924
272,[1.],[1],0.0,0.5000004435373593
273,[9.],[9],0.0,0.5000004434553403
274,[9.],[9],0.125,0.5000004433557899
275,[4.],[4],0.0625,0.5000004434396841
276,[1.],[1],0.0,0.5000004435069009
277,[8.],[8],0.0625,0.5000004434110509
278,[2.],[2],0.5,0.5000004432893708
279,[1.],[1],0.0,0.5000004434967971
280,[2.],[2],0.0,0.500000443438048
281,[9.],[9],0.1875,0.5000004434362455
282,[7.],[7],0.5625,0.5000004434799621
283,[5.],[5],0.1875,0.5000004434048002
284,[9.],[9],0.0625,0.500000443416043
285,[2.],[2],0.125,0.5000004433250561
286,[6.],[6],0.0,0.500000443465443
287,[4.],[4],0.25,0.5000004431128388
288,[1.],[1],0.0,0.5000004434799229
289,[5.],[5],0.1875,0.5000004434510403
290,[4.],[8],0.6875,0.5000004434268396
291,[2.],[2],0.0625,0.5000004434280882
