sample,prediction,true_label,uncertainty,confidence
0,[0.],[7],0.75,0.6785084976149071
1,[2.],[2],0.125,0.6805858731922245
2,[1.],[1],0.0,0.6822579064186588
3,[0.],[0],0.0,0.6814442933870681
4,[4.],[4],0.0,0.6816327407297272
5,[1.],[1],0.0,0.682273291132552
6,[4.],[4],0.0625,0.6815022140538763
7,[4.],[9],0.375,0.6680667136302261
8,[5.],[5],0.5,0.6812463136162252
9,[4.],[9],0.125,0.6680421508730665
10,[0.],[0],0.0,0.6819691202557886
11,[6.],[6],0.375,0.6814425833934877
12,[4.],[9],0.0625,0.6792531530804736
13,[0.],[0],0.0,0.6816746632063401
14,[1.],[1],0.0,0.6819649735901475
15,[5.],[5],0.0625,0.6810222778671983
16,[4.],[9],0.25,0.6811084240406733
17,[0.],[7],0.625,0.6699049984868072
18,[3.],[3],0.375,0.6802391246548052
19,[4.],[4],0.0625,0.6819843801579792
20,[4.],[9],0.25,0.681548119574514
21,[6.],[6],0.0,0.6820607817348084
22,[6.],[6],0.375,0.6809985638665855
23,[5.],[5],0.0625,0.6816383398037511
24,[4.],[4],0.0,0.681241705218791
25,[0.],[0],0.0625,0.6810376238717618
26,[0.],[7],0.5625,0.6768263963751304
27,[4.],[4],0.0,0.6818329328769694
28,[0.],[0],0.0,0.6817571529434578
29,[1.],[1],0.0,0.6820116039887079
30,[3.],[3],0.125,0.6815512883314008
31,[1.],[1],0.0,0.682008572576958
32,[3.],[3],0.0,0.681716715730335
33,[4.],[4],0.625,0.6814986424785126
34,[2.],[7],0.25,0.6799734503324456
35,[2.],[2],0.0,0.6810906974268319
36,[2.],[7],0.6875,0.6724375324330341
37,[1.],[1],0.0,0.6822420672641394
38,[2.],[2],0.6875,0.6814513812614057
39,[1.],[1],0.0,0.6822009560279056
40,[1.],[1],0.0,0.681807948538851
41,[3.],[7],0.5,0.6528421071112652
42,[4.],[4],0.0,0.681772012259364
43,[2.],[2],0.4375,0.681142465968202
44,[3.],[3],0.0625,0.6820480924641866
45,[5.],[5],0.0,0.6817320344446246
46,[1.],[1],0.25,0.6818009340225537
47,[2.],[2],0.0,0.6796507265134929
48,[4.],[4],0.0625,0.6810144893910671
49,[4.],[4],0.0,0.6811779312714561
50,[6.],[6],0.125,0.6818742403675114
51,[3.],[3],0.125,0.6808413985699547
52,[5.],[5],0.0625,0.6813428323450993
